sequence,step,herb_a,herb_b,type,expected_conflict,conflict_detected,gate_decision,conflict_rate,cumulative_conflicts
Sparse_Conflict,1,人参,黄芪,safe,False,False,PASS,0.0,0
Sparse_Conflict,2,麻黄,桂枝,safe,False,False,PASS,0.0,0
Sparse_Conflict,3,当归,川芎,safe,False,False,PASS,0.0,0
Sparse_Conflict,4,白术,茯苓,safe,False,False,PASS,0.0,0
Sparse_Conflict,5,金银花,连翘,safe,False,False,PASS,0.0,0
Sparse_Conflict,6,枸杞子,菊花,safe,False,False,PASS,0.0,0
Sparse_Conflict,7,甘草,甘遂,Type-I,True,True,PASS,0.1429,1
Sparse_Conflict,8,附子,半夏,Type-II,True,True,PASS,0.25,2
Dense_Conflict,1,甘草,甘遂,Type-I,True,True,ESCALATE,1.0,1
Dense_Conflict,2,人参,藜芦,Type-I,True,True,ESCALATE,1.0,2
Dense_Conflict,3,乌头,贝母,Type-I,True,True,ESCALATE,1.0,3
Dense_Conflict,4,附子,半夏,Type-II,True,True,ESCALATE,1.0,4
Dense_Conflict,5,丹参,藜芦,Type-II,True,True,ESCALATE,1.0,5
Dense_Conflict,6,黄连,附子,Type-II,True,False,ESCALATE,0.8333,5
Dense_Conflict,7,附子,石膏,Type-III,True,False,ESCALATE,0.7143,5
Dense_Conflict,8,黄芪,防风,Type-III,True,False,BLOCK,0.625,5
Dense_Conflict,9,阿胶,萝卜,Type-III,True,False,BLOCK,0.5556,5
Dense_Conflict,10,人参,茶叶,Type-III,True,False,BLOCK,0.5,5
Dense_Conflict,11,人参,黄芪,safe,False,False,BLOCK,0.4545,5
Dense_Conflict,12,麻黄,桂枝,safe,False,False,BLOCK,0.4167,5
Recovery_Sequence,1,人参,黄芪,safe,False,False,PASS,0.0,0
Recovery_Sequence,2,当归,川芎,safe,False,False,PASS,0.0,0
Recovery_Sequence,3,白术,茯苓,safe,False,False,PASS,0.0,0
Recovery_Sequence,4,甘草,甘遂,Type-I,True,True,PASS,0.25,1
Recovery_Sequence,5,附子,半夏,Type-II,True,True,BLOCK,0.4,2
Recovery_Sequence,6,丹参,藜芦,Type-II,True,True,BLOCK,0.5,3
Recovery_Sequence,7,黄芪,防风,Type-III,True,False,BLOCK,0.4286,3
Recovery_Sequence,8,枸杞子,绿茶,Type-III,True,False,BLOCK,0.375,3
Recovery_Sequence,9,人参,黄芪,safe,False,False,BLOCK,0.3333,3
Recovery_Sequence,10,当归,川芎,safe,False,False,PASS,0.3,3
Recovery_Sequence,11,白术,茯苓,safe,False,False,PASS,0.2727,3
Recovery_Sequence,12,阿胶,萝卜,Type-III,True,False,PASS,0.25,3
